source,plot,abund,id
Gut,F13-Fcsw,0.00078064,4C0d-2
Gut,F13-Fcsw,0.003903201,Actinobacteria
Gut,F13-Fcsw,0.270101483,Bacteroidia
Gut,F13-Fcsw,0.005464481,Betaproteobacteria
Gut,F13-Fcsw,0.683060109,Clostridia
Gut,F13-Fcsw,0.00156128,Deltaproteobacteria
Gut,F13-Fcsw,0.008587041,Erysipelotrichi
Gut,F13-Fcsw,0.00078064,Fusobacteria
Gut,F13-Fcsw,0.00234192,Gammaproteobacteria
Gut,F13-Fcsw,0.003903201,ML615J-28
Gut,F13-Fcsw,0.019516003,Mollicutes
Gut,M14-Fcsw,0.059683313,4C0d-2
Gut,M14-Fcsw,0.035322777,Alphaproteobacteria
Gut,M14-Fcsw,0.000609013,Bacilli
Gut,M14-Fcsw,0.441534714,Bacteroidia
Gut,M14-Fcsw,0.03227771,Betaproteobacteria
Gut,M14-Fcsw,0.414738124,Clostridia
Gut,M14-Fcsw,0.001218027,Erysipelotrichi
Gut,M14-Fcsw,0.001218027,Gammaproteobacteria
Gut,M14-Fcsw,0.009744214,ML615J-28
Gut,M14-Fcsw,0.002436054,Mollicutes
Gut,M14-Fcsw,0.001218027,Verrucomicrobiae
Mouth,F13-Tong,0.186684073,Actinobacteria
Mouth,F13-Tong,0.16362054,Bacilli
Mouth,F13-Tong,0.243255004,Bacteroidia
Mouth,F13-Tong,0.001740644,Betaproteobacteria
Mouth,F13-Tong,0.208006963,Clostridia
Mouth,F13-Tong,0.029590949,Epsilonproteobacteria
Mouth,F13-Tong,0.000435161,Flavobacteria
Mouth,F13-Tong,0.012619669,Fusobacteria
Mouth,F13-Tong,0.15100087,Gammaproteobacteria
Mouth,F13-Tong,0.002175805,Spirochaetes
Mouth,F13-Tong,0.000870322,TM7-3
Phyllosphere,phyllosphere-a,0.423076923,Bacilli
Phyllosphere,phyllosphere-a,0.076923077,Betaproteobacteria
Phyllosphere,phyllosphere-a,0.115384615,Clostridia
Phyllosphere,phyllosphere-a,0.115384615,Deltaproteobacteria
Phyllosphere,phyllosphere-a,0.153846154,Gammaproteobacteria
Phyllosphere,phyllosphere-a,0.076923077,Solibacteres
Phyllosphere,phyllosphere-a,0.038461538,TM7-3
Phyllosphere,phyllosphere-a2,0.078947368,Actinobacteria
Phyllosphere,phyllosphere-a2,0.052631579,Alphaproteobacteria
Phyllosphere,phyllosphere-a2,0.315789474,Bacilli
Phyllosphere,phyllosphere-a2,0.026315789,Betaproteobacteria
Phyllosphere,phyllosphere-a2,0.078947368,Clostridia
Phyllosphere,phyllosphere-a2,0.236842105,Gammaproteobacteria
Phyllosphere,phyllosphere-a2,0.131578947,Solibacteres
Phyllosphere,phyllosphere-a2,0.078947368,Sphingobacteria
Phyllosphere,phyllosphere-aug1,0.051282051,Acidobacteria
Phyllosphere,phyllosphere-aug1,0.025641026,Actinobacteria
Phyllosphere,phyllosphere-aug1,0.102564103,Alphaproteobacteria
Phyllosphere,phyllosphere-aug1,0.128205128,Betaproteobacteria
Phyllosphere,phyllosphere-aug1,0.153846154,Deltaproteobacteria
Phyllosphere,phyllosphere-aug1,0.230769231,Gammaproteobacteria
Phyllosphere,phyllosphere-aug1,0.025641026,Nitrospira
Phyllosphere,phyllosphere-aug1,0.025641026,PAUC37f
Phyllosphere,phyllosphere-aug1,0.025641026,RB25
Phyllosphere,phyllosphere-aug1,0.179487179,Solibacteres
Phyllosphere,phyllosphere-aug1,0.025641026,Sphingobacteria
Phyllosphere,phyllosphere-aug1,0.025641026,Verrucomicrobiae
Phyllosphere,phyllosphere-aug2,0.090909091,Acidobacteria-5
Phyllosphere,phyllosphere-aug2,0.060606061,Alphaproteobacteria
Phyllosphere,phyllosphere-aug2,0.060606061,Bacilli
Phyllosphere,phyllosphere-aug2,0.242424242,Betaproteobacteria
Phyllosphere,phyllosphere-aug2,0.151515152,Deltaproteobacteria
Phyllosphere,phyllosphere-aug2,0.212121212,Gammaproteobacteria
Phyllosphere,phyllosphere-aug2,0.03030303,Nitrospira
Phyllosphere,phyllosphere-aug2,0.121212121,Solibacteres
Phyllosphere,phyllosphere-aug2,0.03030303,Verrucomicrobiae
Phyllosphere,phyllosphere-c,0.304347826,Acidobacteria
Phyllosphere,phyllosphere-c,0.02173913,Acidobacteria-5
Phyllosphere,phyllosphere-c,0.02173913,Actinobacteria
Phyllosphere,phyllosphere-c,0.043478261,Alphaproteobacteria
Phyllosphere,phyllosphere-c,0.086956522,Bacilli
Phyllosphere,phyllosphere-c,0.130434783,Betaproteobacteria
Phyllosphere,phyllosphere-c,0.02173913,Clostridia
Phyllosphere,phyllosphere-c,0.02173913,Flavobacteria
Phyllosphere,phyllosphere-c,0.086956522,Gammaproteobacteria
Phyllosphere,phyllosphere-c,0.02173913,iii1-8
Phyllosphere,phyllosphere-c,0.02173913,PAUC37f
Phyllosphere,phyllosphere-c,0.195652174,Solibacteres
Phyllosphere,phyllosphere-c,0.02173913,Sphingobacteria
Phyllosphere,phyllosphere-CM,0.027027027,Actinobacteria
Phyllosphere,phyllosphere-CM,0.027027027,Alphaproteobacteria
Phyllosphere,phyllosphere-CM,0.054054054,Bacilli
Phyllosphere,phyllosphere-CM,0.027027027,Betaproteobacteria
Phyllosphere,phyllosphere-CM,0.027027027,Chloracidobacteria
Phyllosphere,phyllosphere-CM,0.054054054,Clostridia
Phyllosphere,phyllosphere-CM,0.540540541,Gammaproteobacteria
Phyllosphere,phyllosphere-CM,0.189189189,Solibacteres
Phyllosphere,phyllosphere-CM,0.054054054,Sphingobacteria
Phyllosphere,phyllosphere-CM2,0.028571429,Acidobacteria
Phyllosphere,phyllosphere-CM2,0.057142857,Alphaproteobacteria
