CAP1	CAP2	taxa	pos	indic	surface	chair.ra	desk.ra	wall.ra	floor.ra
17	0.290908554015777	0.393515109642809	Lactobacillus	1	0.001	chair	0.00243494897959184	0.000135555555555556	0.00011	8.41836734693878e-05
141	0.325973390780521	0.313910609304469	Corynebacterium	1	0.001	chair	0.00265433673469388	0.000772222222222222	0.000523333333333333	0.000406887755102041
639	0.222498347195052	0.231004184903447	Corynebacterium	1	0.001	chair	0.00182908163265306	0.000493333333333333	0.000298888888888889	0.000299744897959184
216	0.263691348851894	0.122702279376303	Staphylococcus	1	0.01	chair	0.00154464285714286	0.000951111111111111	0.000291111111111111	0.000366071428571429
10800	0.199177278369117	0.203793645982527	Corynebacterium	1	0.001	chair	0.00163137755102041	0.000447777777777778	0.000274444444444444	0.00026530612244898
188	0.209356250863419	0.0808944665299478	Staphylococcus	1	0.026	chair	0.00113010204081633	0.000758888888888889	0.000201111111111111	0.00025
151	0.131725726261476	0.173405303028193	Lactobacillus	1	0.002	chair	0.00111607142857143	8.22222222222222e-05	8.55555555555556e-05	4.20918367346939e-05
64	0.120587495833603	0.164081854266736	Lactobacillus	1	0.001	chair	0.00100510204081633	4.44444444444444e-05	3.88888888888889e-05	2.4234693877551e-05
135	0.280756802269628	-0.249452109877476	CandidatusPhytoplasma	1	0.005	desk	0.000193877551020408	0.00182555555555556	0.000327777777777778	0.000237244897959184
530	0.214631742634455	-0.118766931469592	Streptococcus	1	0.001	desk	0.000308673469387755	0.00115555555555556	0.000134444444444444	0.000123724489795918
153	0.173626547256552	-0.0988347981392497	Streptococcus	1	0.001	desk	0.000223214285714286	0.000956666666666667	8.44444444444444e-05	0.000125
1961	0.173408788245667	-0.0909947680339915	Brevundimonas	1	0.001	desk	0.000311224489795918	0.00094	0.000155555555555556	0.000113520408163265
1333	0.159444724567538	-0.112534528835617	Streptococcus	1	0.001	desk	0.000108418367346939	0.000874444444444444	7.77777777777778e-05	4.08163265306122e-05
942	-0.166442967401951	-0.215056134484444	Alicyclobacillus	1	0.001	wall	0.000721938775510204	0.000981111111111111	0.00214	0.000866071428571429
314	-0.0982103867542929	-0.14466106544701	Alicyclobacillus	1	0.001	wall	0.000479591836734694	0.000687777777777778	0.00139	0.000567602040816327
21	-0.129745235414971	-0.0509910352245753	Sphingomonas	1	0.038	wall	0.000966836734693878	0.00126333333333333	0.00138111111111111	0.00175
1881	-0.0837534157666147	-0.0993184665559471	Rhodopseudomonas	1	0.001	wall	0.000456632653061224	0.000482222222222222	0.00114666666666667	0.000433673469387755
174	-0.380580003900399	0.102815855664259	Salmonella	1	0.001	floor	0.000201530612244898	0.000344444444444444	0.000515555555555556	0.00236607142857143
1312	-0.222284290307376	0.0157935450080006	Chroococcidiopsis	1	0.117	floor	0.000785714285714286	0.000447777777777778	0.00127888888888889	0.00134566326530612
1076	-0.20694075140362	0.0570674642896959	Roseomonas	1	0.001	floor	0.000160714285714286	0.000197777777777778	0.000333333333333333	0.00129209183673469
596	-0.178177946444166	0.0439971573541321	-	1	0.001	floor	0.000104591836734694	0.000166666666666667	0.000274444444444444	0.00109438775510204
1203	-0.181340362071992	0.0273459831540465	Chroococcidiopsis	1	0.092	floor	0.000641581632653061	0.000335555555555556	0.000975555555555556	0.00111989795918367
69	-0.17478114189852	0.0434067398363972	Salmonella	1	0.001	floor	7.14285714285714e-05	0.00017	0.000227777777777778	0.00109183673469388
